現位置,層級,檔數,GB,建議歸位,信心
2017-12-03湖口李氏一天法會,資料夾,6,0.19,H90.歷年活動（原夾名保留，入年夾）,高
2018-06-03中壢義儒一天法會,資料夾,6,0.27,H90.歷年活動（原夾名保留，入年夾）,高
2018-06-03湖口李氏一天複習班,資料夾,6,0.19,H90.歷年活動（原夾名保留，入年夾）,高
2018-11-04湖口智善一天法會,資料夾,6,0.4,H90.歷年活動（原夾名保留，入年夾）,高
2018-11-18士林孝化一天複習班,資料夾,6,0.38,H90.歷年活動（原夾名保留，入年夾）,高
2019-02-28~03-01道恩授課人員精進班,資料夾,6,0.68,H90.歷年活動（原夾名保留，入年夾）,高
2021-02-20-21靈隱道場經理班,資料夾,6,0.81,H90.歷年活動（原夾名保留，入年夾）,高
2007-12-01挽沛府慈宣壇二天年終檢討班,資料夾,5,0.19,H90.歷年活動（原夾名保留，入年夾）,高
2007-12-15清邁府廣智壇二天年終檢討班,資料夾,5,0.16,H90.歷年活動（原夾名保留，入年夾）,高
2008-09-05~07紐西蘭聖慈三天法會,資料夾,5,0.09,H90.歷年活動（原夾名保留，入年夾）,高
2009-04-15~29印尼禮恩佛院錄音,資料夾,5,0.48,H90.歷年活動（原夾名保留，入年夾）,高
2009-07-20(1)印尼棉蘭正心壇三天法會第三天,資料夾,5,0.02,H90.歷年活動（原夾名保留，入年夾）,高
2009-12-20(0)板橋聖恩壇一天法會,資料夾,5,0.3,H90.歷年活動（原夾名保留，入年夾）,高
2009-12-27峨眉書院年終精進班：呂大仙慈訓,資料夾,5,0.19,H90.歷年活動（原夾名保留，入年夾）,高
2010-01-10(0)一條金線課題研討：聖恩壇,資料夾,5,0.28,H90.歷年活動（原夾名保留，入年夾）,高
2012-07-07(6)-08(0)峨眉青年班,資料夾,5,1.14,H90.歷年活動（原夾名保留，入年夾）,高
2012-09-09(0)峨眉書院文書組：會議記錄培訓,資料夾,5,0.27,H90.歷年活動（原夾名保留，入年夾）,高
2014-02-16(0)峨眉書院第一次季培訓,資料夾,5,0.21,H90.歷年活動（原夾名保留，入年夾）,高
2014-05-18中壢義儒一天法會,資料夾,5,0.52,H90.歷年活動（原夾名保留，入年夾）,高
2017-05-07湖口李氏一天法會,資料夾,5,0.14,H90.歷年活動（原夾名保留，入年夾）,高
2017-05-20靈隱寺文獻研習,資料夾,5,0.22,H90.歷年活動（原夾名保留，入年夾）,高
2017-09-16靈隱寺文獻研習營,資料夾,5,0.35,H90.歷年活動（原夾名保留，入年夾）,高
2018-02-03-04靈隱寺拜年,資料夾,5,0.19,H90.歷年活動（原夾名保留，入年夾）,高
2018靈隱寺第一屆第二期導覽志工培訓,資料夾,5,0.45,H90.歷年活動（原夾名保留，入年夾）,高
2019-03-31峨眉書院一天複習班,資料夾,5,0.26,H90.歷年活動（原夾名保留，入年夾）,高
2019-11-09靈隱寺導覽培訓,資料夾,5,0.18,H90.歷年活動（原夾名保留，入年夾）,高
2020-01-18靈隱中心文書組年終謝恩,資料夾,5,0.15,H90.歷年活動（原夾名保留，入年夾）,高
2020-01-29峨眉書院新春團拜,資料夾,5,0.07,H90.歷年活動（原夾名保留，入年夾）,高
2020-10-10峨眉書院綜合班：渡人成全手冊,資料夾,5,0.53,H90.歷年活動（原夾名保留，入年夾）,高
2007-06-08-10泰國呵叻府普利叻佛堂三天法會,資料夾,4,0.29,H90.歷年活動（原夾名保留，入年夾）,高
2007-12-15泰國北欖府奉恩樓二天年終檢討班,資料夾,4,0.12,H90.歷年活動（原夾名保留，入年夾）,高
2008-01-11大連讀書會,資料夾,4,0.2,H90.歷年活動（原夾名保留，入年夾）,高
2008-03-03-03-05澳洲慈育三天法會,資料夾,4,0.13,H90.歷年活動（原夾名保留，入年夾）,高
2008-08-13華語師資班：曾詩秦,資料夾,4,0.46,H90.歷年活動（原夾名保留，入年夾）,高
2009-03-22(0)峨眉書院佛規禮節實務班,資料夾,4,0.17,H90.歷年活動（原夾名保留，入年夾）,高
2014-02-04(0)靈隱寺文書培訓,資料夾,4,0.04,H90.歷年活動（原夾名保留，入年夾）,高
2018-01-21峨眉書院靈隱尋根之旅,資料夾,4,0.19,H90.歷年活動（原夾名保留，入年夾）,高
2018-04-08峨眉書院聯絡圈暨弘道組培訓,資料夾,4,0.07,H90.歷年活動（原夾名保留，入年夾）,高
2018-08-12峨眉書院聯絡圈暨基礎研究班培訓,資料夾,4,0.06,H90.歷年活動（原夾名保留，入年夾）,高
2019-01-21義德兄弟道場拜年,資料夾,4,0.13,H90.歷年活動（原夾名保留，入年夾）,高
2019-02-24經典師資培訓：孝經,資料夾,4,0.39,H90.歷年活動（原夾名保留，入年夾）,高
2019-11-17峨眉書院一天複習班,資料夾,4,0.25,H90.歷年活動（原夾名保留，入年夾）,高
2020-08-02中壢義儒一天法會,資料夾,4,0.19,H90.歷年活動（原夾名保留，入年夾）,高
2006-06-24-06-25馬來西亞居林常德班,資料夾,3,0.05,H90.歷年活動（原夾名保留，入年夾）,高
2007-05-20靈化菩薩修辦精神,資料夾,3,0.23,H90.歷年活動（原夾名保留，入年夾）,高
2007-06-01~03泰國西沙吉慈信壇明德新民進修班,資料夾,3,0.16,H90.歷年活動（原夾名保留，入年夾）,高
2007-06-09(6)加拿大溫尼辟慈化道院二天法會第一天,資料夾,3,0.24,H90.歷年活動（原夾名保留，入年夾）,高
2007-07-06~08泰國清萊府妙心佛堂明德新民進修,資料夾,3,0.21,H90.歷年活動（原夾名保留，入年夾）,高
2007-11-17北欖府奉恩樓二天年終檢討班,資料夾,3,0.1,H90.歷年活動（原夾名保留，入年夾）,高
2007加拿大溫尼辟一天綜合班,資料夾,3,0.16,H90.歷年活動（原夾名保留，入年夾）,高
2008-01-05大連瓦房店,資料夾,3,0.14,H90.歷年活動（原夾名保留，入年夾）,高
2008-01-06 0900~1630 華山講堂兒童讀經師資研習會 (待縮小),資料夾,3,3.35,H90.歷年活動（原夾名保留，入年夾）,高
2008-01-20老師臨壇,資料夾,3,0.15,H90.歷年活動（原夾名保留，入年夾）,高
2008-05-09-05-11澳洲沐恩三天法會,資料夾,3,0.16,H90.歷年活動（原夾名保留，入年夾）,高
2008-05-24高雄慈聖佛規愿行班,資料夾,3,0.36,H90.歷年活動（原夾名保留，入年夾）,高
2009-01-01-01-03澳洲雪梨化性三天法會,資料夾,3,0.1,H90.歷年活動（原夾名保留，入年夾）,高
2009-02-20一貫薪傳生命價值：董經理,資料夾,3,0.34,H90.歷年活動（原夾名保留，入年夾）,高
2009-03-08(0)峨眉書院青年人才養成班,資料夾,3,0.25,H90.歷年活動（原夾名保留，入年夾）,高
2009-07-22(3)亞齊壇主座談,資料夾,3,0.07,H90.歷年活動（原夾名保留，入年夾）,高
2010-05-23(0)溫哥華天聖壇研究班,資料夾,3,0.2,H90.歷年活動（原夾名保留，入年夾）,高
2010-07-31(6)-08-02(1)印度古加旺正德壇三天法會,資料夾,3,0.35,H90.歷年活動（原夾名保留，入年夾）,高
2016-02-12(5)靈隱寺文書培訓,資料夾,3,0.27,H90.歷年活動（原夾名保留，入年夾）,高
2019-05-12峨眉書院綜合班,資料夾,3,0.17,H90.歷年活動（原夾名保留，入年夾）,高
2019-08-11峨眉書院綜合班,資料夾,3,0.18,H90.歷年活動（原夾名保留，入年夾）,高
2020-02-16峨眉書院策劃會,資料夾,3,0.18,H90.歷年活動（原夾名保留，入年夾）,高
2022-04-09和宣文青組：文獻培訓,資料夾,3,0.02,H90.歷年活動（原夾名保留，入年夾）,高
1997-04-21-04-23溫哥華聖澤壇三天法會,資料夾,2,0.03,H90.歷年活動（原夾名保留，入年夾）,高
2006-04-21泰國龍德壇三天法會,資料夾,2,0.26,H90.歷年活動（原夾名保留，入年夾）,高
2006-07-07-09菲律賓紅奚禮市化慈三天法會,資料夾,2,0.05,H90.歷年活動（原夾名保留，入年夾）,高
2006-07-21-07-23菲律賓計順市廣德三天法會,資料夾,2,0.09,H90.歷年活動（原夾名保留，入年夾）,高
2006-08-25台中霧峰武聖宮三天法會：仙佛帶動唱,資料夾,2,0.0,H90.歷年活動（原夾名保留，入年夾）,高
2006-08-25台中霧峰武聖宮三天法會：錄音,資料夾,2,0.11,H90.歷年活動（原夾名保留，入年夾）,高
2007-04-03澳洲墨爾本沐恩三天法會,資料夾,2,0.12,H90.歷年活動（原夾名保留，入年夾）,高
2007-06-15~17泰國普吉島崇聖佛堂明德新民進修班,資料夾,2,0.17,H90.歷年活動（原夾名保留，入年夾）,高
2008-07-16峨眉書院第一期華語師資班：注音教學：平鎮廖氏壇：林秀環,資料夾,2,0.89,H90.歷年活動（原夾名保留，入年夾）,高
2008-08-25 聖恩法會小組錄音,資料夾,2,1.04,H90.歷年活動（原夾名保留，入年夾）,高
2008-08-25(1) 峨眉書院文書工作沿革 (宋經理講述於板橋聖恩壇),資料夾,2,0.37,H90.歷年活動（原夾名保留，入年夾）,高
2008-11-23(0)白水老人開荒闡道六十週年紀念會於靈隱寺,資料夾,2,0.1,H90.歷年活動（原夾名保留，入年夾）,高
2009-01-09-01-11沐恩三天法會,資料夾,2,0.09,H90.歷年活動（原夾名保留，入年夾）,高
2009-02-26一貫天道五大義理：群英,資料夾,2,0.14,H90.歷年活動（原夾名保留，入年夾）,高
2009-06-21(0)印尼仙達德化宮辦事人員班,資料夾,2,0.09,H90.歷年活動（原夾名保留，入年夾）,高
2010-05-10(1)道學英語班教材錄音,資料夾,2,0.06,H90.歷年活動（原夾名保留，入年夾）,高
2012-08-05(0)峨眉全家福班,資料夾,2,0.12,H90.歷年活動（原夾名保留，入年夾）,高
2013-02-15(5)峨眉書院新春團拜,資料夾,2,0.11,H90.歷年活動（原夾名保留，入年夾）,高
2017-08-02峨眉書院策劃會,資料夾,2,0.03,H90.歷年活動（原夾名保留，入年夾）,高
2017-08-04峨眉書院成全組會議：青年整合班程,資料夾,2,0.18,H90.歷年活動（原夾名保留，入年夾）,高
2017-09-10峨眉書院聯絡圈,資料夾,2,0.03,H90.歷年活動（原夾名保留，入年夾）,高
2018-02-05義德兄弟道場拜年,資料夾,2,0.21,H90.歷年活動（原夾名保留，入年夾）,高
2018-03-07峨眉書院策劃會,資料夾,2,0.02,H90.歷年活動（原夾名保留，入年夾）,高
2018-06-19發一崇德文書參訪,資料夾,2,0.17,H90.歷年活動（原夾名保留，入年夾）,高
2018-09-09峨眉書院聯絡圈,資料夾,2,0.27,H90.歷年活動（原夾名保留，入年夾）,高
2018-12-15靈隱寺文獻研習營,資料夾,2,0.15,H90.歷年活動（原夾名保留，入年夾）,高
2019-04-14峨眉書院綜合班,資料夾,2,0.13,H90.歷年活動（原夾名保留，入年夾）,高
2019-06-09峨眉書院綜合班,資料夾,2,0.21,H90.歷年活動（原夾名保留，入年夾）,高
2019-09-08峨眉書院綜合班,資料夾,2,0.14,H90.歷年活動（原夾名保留，入年夾）,高
2020-05-10峨眉書院精進班,資料夾,2,0.09,H90.歷年活動（原夾名保留，入年夾）,高
2020-07-19文書學務聯合會議,資料夾,2,0.21,H90.歷年活動（原夾名保留，入年夾）,高
2021-07-11峨眉書院綜合精進班,資料夾,2,0.37,H90.歷年活動（原夾名保留，入年夾）,高
2023-02-19峨眉書院講師講員精進班,資料夾,2,0.64,H90.歷年活動（原夾名保留，入年夾）,高
2025-03-09峨眉書院綜合班,資料夾,2,0.2,H90.歷年活動（原夾名保留，入年夾）,高
2008-01-17蔡經理授課(聖恩壇),資料夾,1,0.08,H90.歷年活動（原夾名保留，入年夾）,高
2008-01-25蔡經理授課：聖恩壇,資料夾,1,0.1,H90.歷年活動（原夾名保留，入年夾）,高
2008-07-03(4)~09-10(3) 峨眉書院第一期華語師資班,資料夾,1,0.04,H90.歷年活動（原夾名保留，入年夾）,高
2008-08-20(3)華語師資認證(孔奕欣主講於平鎮廖氏壇),資料夾,1,0.93,H90.歷年活動（原夾名保留，入年夾）,高
2019-09-13-09-15靈隱寺三天法會,資料夾,1,0.09,H90.歷年活動（原夾名保留，入年夾）,高
峨眉書院有聲書錄音工作檔,資料夾,614,1.05,H99.工作檔,高
李講師的錄音帶,資料夾,33,0.07,待Neil判（人物錄音：H90 或 H02）,低
(根目錄) 有聲書：金剛經.mp3,散檔,1,0.051,待Neil判（無日期散檔）,低
(根目錄) 白水老人成道十週年紀念：白水老人講道集（一）.mp3,散檔,1,0.054,待Neil判（無日期散檔）,低
(根目錄) 道之宗旨的精神與要義01.mp3,散檔,1,0.006,待Neil判（無日期散檔）,低
(根目錄) 道之宗旨的精神與要義02.mp3,散檔,1,0.006,待Neil判（無日期散檔）,低
(根目錄) 有聲書：道之宗旨.mp3,散檔,1,0.001,待Neil判（無日期散檔）,低
(根目錄) 仙佛慈訓.WAV,散檔,1,0.185,待Neil判（無日期散檔）,低
(根目錄) 宋經理講蔡經理的修辦過程：劉壇主.Mp3,散檔,1,0.107,待Neil判（無日期散檔）,低
(根目錄) 宋經理講蔡經理的修辦過程.mp3,散檔,1,0.107,待Neil判（無日期散檔）,低
(根目錄) 黃嘉儒.WAV,散檔,1,0.092,待Neil判（無日期散檔）,低
(根目錄) 道與教：林榮澤.WAV,散檔,1,0.091,待Neil判（無日期散檔）,低
(根目錄) 大姑前人講話.MP3,散檔,1,0.003,待Neil判（無日期散檔）,低
(根目錄) 道脈源流：洪啟源.Mp3,散檔,1,0.075,待Neil判（無日期散檔）,低
(根目錄) 三曹普渡：羅國豐.Mp3,散檔,1,0.054,待Neil判（無日期散檔）,低
(根目錄) 天然古佛：印尼禮恩.Mp3,散檔,1,0.034,待Neil判（無日期散檔）,低
(根目錄) 仙佛慈訓1.WAV,散檔,1,0.031,待Neil判（無日期散檔）,低
(根目錄) 天道濟世救人的內涵：蔣清潭講師.mp3,散檔,1,0.049,待Neil判（無日期散檔）,低
(根目錄) 降道降劫之由來：蔣清潭講師.mp3,散檔,1,0.027,待Neil判（無日期散檔）,低
(根目錄) 孝1.MP3,散檔,1,0.082,待Neil判（無日期散檔）,低
(根目錄) 道與教的分析.MP3,散檔,1,0.012,待Neil判（無日期散檔）,低
(根目錄) 傳題-勸發菩提心.MP3,散檔,1,0.057,待Neil判（無日期散檔）,低
(根目錄) 蔡經理慈悲.wav,散檔,1,0.024,待Neil判（無日期散檔）,低
